City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-24.15,70,100,5.66,CA,1674578860
1,pevek,69.7008,170.3133,-25.18,73,94,1.38,RU,1674578754
2,punta arenas,-53.15,-70.9167,12.01,46,40,14.4,CL,1674578547
3,gold coast,-28.0,153.4333,23.43,93,40,1.54,AU,1674579051
4,karratha,-20.7377,116.8463,28.9,68,52,2.11,AU,1674578737
5,jeremie,18.65,-74.1167,27.48,61,9,3.35,HT,1674579052
6,hoquiam,46.9809,-123.8893,8.33,94,100,1.54,US,1674579006
7,rikitea,-23.1203,-134.9692,26.05,70,27,7.95,PF,1674578932
8,vila franca do campo,37.7167,-25.4333,15.23,78,82,5.8,PT,1674578859
9,avarua,-21.2078,-159.775,22.03,100,34,0.51,CK,1674578978
10,ous,60.9058,61.5186,-8.64,85,84,3.37,RU,1674579053
11,puerto ayora,-0.7393,-90.3518,26.98,91,11,1.79,EC,1674578587
12,port elizabeth,-33.918,25.5701,21.16,75,40,9.77,ZA,1674578804
13,jamestown,42.097,-79.2353,0.77,68,100,6.69,US,1674578936
14,chuy,-33.6971,-53.4616,29.92,29,1,4.28,UY,1674579042
15,kamenka,51.3223,42.7678,-7.54,85,54,2.33,RU,1674578889
16,clyde river,70.4692,-68.5914,-28.87,76,100,8.23,CA,1674578848
17,hilo,19.7297,-155.09,21.82,95,100,3.6,US,1674578970
18,poum,-20.2333,164.0167,27.05,80,9,2.94,NC,1674579056
19,bluff,-46.6,168.3333,9.55,87,21,1.56,NZ,1674579026
20,saint-francois,46.4154,3.9054,2.69,87,100,1.03,FR,1674579056
21,ushuaia,-54.8,-68.3,8.79,76,40,2.57,AR,1674579057
22,touros,-5.1989,-35.4608,29.05,61,65,6.17,BR,1674578728
23,new norfolk,-42.7826,147.0587,15.51,75,76,1.11,AU,1674578677
24,livingston,55.9029,-3.5226,9.61,92,75,4.12,GB,1674578786
25,kenora,49.8167,-94.4337,-11.46,79,75,2.06,CA,1674578773
26,puerto escondido,15.85,-97.0667,28.57,53,3,2.42,MX,1674578802
27,ilulissat,69.2167,-51.1,-3.99,54,75,5.14,GL,1674578855
28,kapaa,22.0752,-159.319,19.99,88,20,4.12,US,1674578727
29,lagoa,39.05,-27.9833,14.85,84,49,10.29,PT,1674578869
30,mirnyy,62.5353,113.9611,-30.26,98,100,0.91,RU,1674579059
31,port hedland,-20.3167,118.5667,28.03,83,40,3.6,AU,1674579060
32,freeport,40.6576,-73.5832,7.51,54,0,8.75,US,1674579060
33,leshan,29.5623,103.7639,5.55,49,82,0.91,CN,1674579061
34,san juan,-31.5375,-68.5364,35.97,20,0,5.62,AR,1674579061
35,petropavlovsk-kamchatskiy,53.0452,158.6483,-19.57,71,0,5.0,RU,1674579061
36,carnarvon,-24.8667,113.6333,24.4,78,0,6.07,AU,1674579003
37,bathsheba,13.2167,-59.5167,29.34,54,20,11.32,BB,1674578734
38,maraa,-1.8333,-65.3667,31.43,51,100,2.16,BR,1674579063
39,albany,42.6001,-73.9662,1.83,74,95,1.79,US,1674578810
40,honggang,46.4667,124.8667,-26.92,87,7,2.53,CN,1674579064
41,sorland,67.667,12.6934,3.92,90,100,10.9,NO,1674578748
42,araceli,10.5529,119.9913,26.31,82,100,12.4,PH,1674579064
43,castro,-24.7911,-50.0119,27.0,54,5,3.15,BR,1674578801
44,butaritari,3.0707,172.7902,27.09,78,76,8.3,KI,1674578677
45,faanui,-16.4833,-151.75,27.59,69,100,6.7,PF,1674579069
46,bandarbeyla,9.4942,50.8122,24.36,70,20,7.42,SO,1674579069
47,busselton,-33.65,115.3333,16.23,83,5,6.22,AU,1674578689
48,bulgan,48.8125,103.5347,-21.57,88,100,1.79,MN,1674578986
49,ahipara,-35.1667,173.1667,17.57,86,95,4.46,NZ,1674578766
50,longyearbyen,78.2186,15.6401,-1.09,69,40,6.69,SJ,1674578832
51,kang,-23.6752,22.7876,30.47,28,75,4.62,BW,1674579071
52,arman,59.7,150.1667,-21.66,85,100,5.53,RU,1674579072
53,narsaq,60.9167,-46.05,-4.88,89,100,2.66,GL,1674578755
54,grindavik,63.8424,-22.4338,4.26,100,75,5.66,IS,1674578844
55,qingquan,30.4511,115.2559,-1.98,44,0,1.45,CN,1674579073
56,alofi,-19.0595,-169.9187,20.94,100,9,0.0,NU,1674578790
57,nikolayevka,53.1257,47.2041,-12.11,90,79,2.41,RU,1674579074
58,port blair,11.6667,92.75,27.02,69,27,3.09,IN,1674578805
59,port alfred,-33.5906,26.891,21.21,83,72,4.02,ZA,1674578735
60,cockburn town,21.4612,-71.1419,25.49,66,7,6.42,TC,1674578959
61,mersing,2.4312,103.8405,21.95,100,40,2.57,MY,1674579075
62,korla,41.7597,86.1469,-13.23,70,28,1.91,CN,1674579076
63,jieshi,22.8134,115.8257,10.03,51,55,5.43,CN,1674579076
64,andenes,69.3143,16.1194,1.99,75,75,8.23,NO,1674579077
65,saldanha,-33.0117,17.9442,21.03,62,32,7.97,ZA,1674579077
66,saint-augustin,51.226,-58.6502,-2.82,92,100,9.59,CA,1674579078
67,brae,60.3964,-1.353,9.44,86,100,12.75,GB,1674579078
68,dagana,16.5165,-15.5068,32.95,13,67,2.24,MR,1674579079
69,kavieng,-2.5744,150.7967,27.2,77,70,3.16,PG,1674578812
70,ryde,50.73,-1.1621,3.7,86,10,1.79,GB,1674579079
71,hobart,-42.8794,147.3294,15.7,95,100,0.0,AU,1674578990
72,hofn,64.2539,-15.2082,5.29,86,100,4.26,IS,1674578777
73,laguna,38.421,-121.4238,8.77,88,0,0.0,US,1674579081
74,tefe,-3.3542,-64.7114,31.06,74,75,2.06,BR,1674579072
75,qaanaaq,77.484,-69.3632,-24.32,63,19,3.48,GL,1674578767
76,dunedin,-45.8742,170.5036,13.78,91,99,2.24,NZ,1674578497
77,hithadhoo,-0.6,73.0833,27.09,76,78,6.1,MV,1674578972
78,thompson,55.7435,-97.8558,-33.91,75,0,1.03,CA,1674578547
79,hasaki,35.7333,140.8333,-2.62,47,100,14.3,JP,1674578750
80,saint-philippe,-21.3585,55.7679,23.77,90,100,7.06,RE,1674578968
81,havoysund,70.9963,24.6622,2.13,68,99,17.98,NO,1674579083
82,grand gaube,-20.0064,57.6608,24.22,85,100,1.34,MU,1674578731
83,arraial do cabo,-22.9661,-42.0278,27.98,74,75,2.06,BR,1674578756
84,erzin,36.9559,36.2,12.1,53,1,2.43,TR,1674579084
85,tuktoyaktuk,69.4541,-133.0374,-23.0,77,100,5.66,CA,1674578876
86,sorong,-0.8833,131.25,26.57,81,100,3.2,ID,1674579085
87,dukat,62.55,155.55,-25.93,98,100,1.52,RU,1674579086
88,havre,49.5833,0.3333,3.44,86,100,2.06,FR,1674579086
89,camana,-16.6228,-72.7111,24.56,76,70,3.82,PE,1674579088
90,waverly,42.7392,-84.6208,1.19,74,0,7.2,US,1674579088
91,palmer,42.1584,-72.3287,4.25,72,75,5.14,US,1674579089
92,bredasdorp,-34.5322,20.0403,18.51,48,88,7.05,ZA,1674578783
93,shasta lake,40.6804,-122.3708,10.4,62,9,2.75,US,1674579002
94,yellowknife,62.456,-114.3525,-14.71,85,100,4.12,CA,1674578696
95,yaan,7.3833,8.5667,35.79,12,77,2.78,NG,1674579090
96,vaini,-21.2,-175.2,25.09,94,20,2.06,TO,1674579091
97,ostrovnoy,68.0531,39.5131,-3.57,78,7,11.35,RU,1674579005
98,roma,43.2128,-75.4557,1.57,83,100,4.63,US,1674579091
99,fortuna,40.5982,-124.1573,3.51,93,0,4.63,US,1674578710
100,klaksvik,62.2266,-6.589,8.51,94,100,14.25,FO,1674578969
101,ust-nera,64.5667,143.2,-40.88,99,54,0.79,RU,1674579092
102,ewa beach,21.3156,-158.0072,21.34,88,0,1.54,US,1674579093
103,tevaitoa,-16.7833,-151.5,27.45,71,100,6.51,PF,1674578835
104,tiznit,29.5833,-9.5,14.8,37,0,3.25,MA,1674578887
105,zhiryatino,53.2228,33.7306,-3.82,66,1,0.56,RU,1674579094
106,pisco,-13.7,-76.2167,23.9,78,0,3.6,PE,1674579094
107,chabahar,25.2919,60.643,17.93,32,0,1.95,IR,1674579095
108,east london,-33.0153,27.9116,18.52,88,75,6.69,ZA,1674578544
109,labuhan,-6.8844,112.2051,25.94,85,100,1.84,ID,1674578787
110,omsukchan,62.5333,155.8,-25.64,98,100,2.0,RU,1674579096
111,maiduguri,11.8464,13.1603,28.24,13,72,4.24,NG,1674579096
112,campbell river,50.0163,-125.2446,5.74,100,100,1.54,CA,1674579096
113,airai,-8.9266,125.4092,16.14,94,100,0.46,TL,1674578834
114,mogok,22.9167,96.5,12.62,46,4,0.79,MM,1674579097
115,llanes,43.4198,-4.7549,8.04,85,100,3.31,ES,1674579098
116,awbari,26.5921,12.7805,17.96,15,2,5.05,LY,1674579098
117,mount gambier,-37.8333,140.7667,10.94,94,7,1.1,AU,1674578778
